"Ба / Светлана Филиппова / Россия / 2020 / 15'00""";Ба
"10 тысяч безобразных пятен / Дмитрий Геллер / Россия / 2020 / 8'10""";10 тысяч безобразных пятен
"Вадим на прогулке / Саша Свирский / Россия / 2021 / 7'57""";Вадим на прогулке
"За забором / Мария Коган-Лернер / Россия / 2020 / 7'40""";За забором
"Жизнь-паскуда / Варя Яковлева / Россия / 2021 / 6'21""";Жизнь-паскуда
"Начало света / Анастасия Мелихова / Россия / 2020 / 6'20""";Начало света
"О, неет! / Иван Максимов / Россия / 2021 / 5'36""";О, неет!
"Мокрые носочки Берты Райз / Александра Шадрина / Россия / 2020 / 11'02""";Мокрые носочки Берты Райз
"День рождения Пишто / Софья Кендель /  Россия / 2020 / 10'56""";День рождения Пишто
"Собаки пахнут морем / Анастасия Лисовец / Россия / 2020 / 4'14""";Собаки пахнут морем
"Я - Рыба / Дарья Мельникова / Россия / 2020 / 5'10""";Я - Рыба
"Курочка-умничка / Дарья Сидловская / Россия / 2020 / 5'15""";Курочка-умничка
